StichtagDatJahr,KreisSort,KreisCd,KreisLang,SteuerTarifSort,SteuerTarifCd,SteuerTarifLang,SteuerEinkommen_p50,SteuerEinkommen_p25,SteuerEinkommen_p75
2020,1,1,Kreis 1,2,2,Einelternfamilientarif,60.85,30.0,97.9
2020,2,2,Kreis 2,2,2,Einelternfamilientarif,54.3,32.3,85.2
2020,3,3,Kreis 3,2,2,Einelternfamilientarif,47.25,28.5,75.3
2020,4,4,Kreis 4,2,2,Einelternfamilientarif,44.2,24.0,70.6
2020,5,5,Kreis 5,2,2,Einelternfamilientarif,55.0,32.6,90.3
2020,6,6,Kreis 6,2,2,Einelternfamilientarif,59.55,36.6,94.6
2020,7,7,Kreis 7,2,2,Einelternfamilientarif,75.6,46.0,120.5
2020,8,8,Kreis 8,2,2,Einelternfamilientarif,71.05,45.0,116.3
2020,9,9,Kreis 9,2,2,Einelternfamilientarif,47.9,27.2,71.2
2020,10,10,Kreis 10,2,2,Einelternfamilientarif,58.7,35.8,84.5
2020,11,11,Kreis 11,2,2,Einelternfamilientarif,44.6,23.5,68.9
2020,12,12,Kreis 12,2,2,Einelternfamilientarif,34.5,15.6,52.4
